Year,Summary,Clay,Hard,Indoor,Grass,Not Set
2021,56/7,18/3,20/3,7/1,7/0,4/0
2020,47/7,16/2,27/2,4/3,-,-
2019,60/12,15/3,28/6,6/2,8/1,3/0
2018,54/13,11/5,24/4,8/3,11/1,-
2017,32/8,12/4,10/3,-,8/1,2/0
2016,65/10,16/2,39/4,6/2,2/2,2/0
2015,84/7,16/1,50/4,9/1,8/1,1/0
2014,65/11,14/2,35/9,9/0,7/0,-
2013,80/10,12/3,44/6,10/0,7/1,7/0
2012,79/12,16/4,48/4,5/1,10/3,-
2011,74/6,17/1,40/1,9/3,8/0,0/1
2010,62/20,10/4,30/9,9/5,6/2,7/0
2009,78/19,17/4,38/9,15/2,8/2,0/2
2008,68/17,16/3,41/8,5/3,5/2,1/1
2007,68/19,16/5,35/9,8/3,6/2,3/0
2006,48/21,19/6,7/8,13/4,4/2,5/1
2005,41/19,15/4,7/6,11/5,6/2,2/2
2004,59/15,39/7,7/3,13/5,-,-
2003,10/6,10/4,-,0/2,-,-
